Coder,ID,Timestamp,Who?,What?,Re Who?,To Whom?,,,,,,,,,,,,
JW,C108 F377 SM1,00:00:00.0,CHW,SS,CHW,NO,,,,,,,,,,,,
JW,C108 F377 SM1,00:00:00.1,CHW,AFL,CHW,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:00:00.2,CHW,SS,WE,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:00:00.3,CHW,GINFO-,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:00:00.4,CHW,SS,WE,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:00:48.9,CG,LUP+,CG,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:00:52.8,CHW,EA,OUR,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:00:52.9,CHW,CQTBN,OUR,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:01:00.7,Y,HUPW,Y,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:01:01.7,CHW,SS,WE,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:01:21.1,CG,HUPW,CG,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:01:30.2,CHW,HUPW,CG,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:01:32.0,CG,HUPW,CG,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:01:34.0,Y,HUPW,Y,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:01:36.3,CG,HUPW,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:01:43.6,Y,HUPW,Y,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:01:47.4,CG,CON,CG,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:01:49.4,Y,HUPW,Y,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:01:51.2,CG,ADV-,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:01:55.1,Y,SANDWICH,SANDWICH,SANDWICH,,,,,,,,,,,,
JW,C108 F377 SM1,00:01:56.1,CG,SANDWICH,SANDWICH,SANDWICH,,,,,,,,,,,,
JW,C108 F377 SM1,00:02:05.6,CHW,SO,CHW,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:02:12.9,CG,HUPW,CG,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:02:30.5,CHW,SANDWICH,SANDWICH,SANDWICH,,,,,,,,,,,,
JW,C108 F377 SM1,00:02:34.1,CG,SANDWICH,SANDWICH,SANDWICH,,,,,,,,,,,,
JW,C108 F377 SM1,00:02:54.4,CHW,SS,WE,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:02:59.4,CG,HUPW,CG,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:03:07.7,CHW,SANDWICH,SANDWICH,SANDWICH,,,,,,,,,,,,
JW,C108 F377 SM1,00:03:08.9,CG,SANDWICH,SANDWICH,SANDWICH,,,,,,,,,,,,
JW,C108 F377 SM1,00:03:32.5,CG,ADV-,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:03:37.4,CHW,SO,CHW,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:03:39.0,CG,HUPW,CG,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:03:47.5,Y,HUPW,Y,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:03:49.3,CG,HUPW,CG,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:03:51.6,CHW,GINFO+,CHW,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:04:08.6,CG,AMB-,CG,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:04:13.6,CHW,ROS,CG,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:04:18.1,CG,HUPW,CG,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:04:20.7,CHW,GINFO+,CHW,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:05:08.0,CG,HUPW,CG,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:05:35.2,CG,HUPW,CG,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:05:38.4,CHW,GINFO+,CG,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:05:40.0,CG,LUP+,CG,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:05:41.4,Y,HUPW,CG,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:05:44.1,CG,HUPW,CG,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:05:49.1,Y,CON,CG,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:05:50.7,CG,HUPW,CG,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:05:53.0,Y,HUPW,CG,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:05:54.8,CG,HUPW,CG,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:05:58.9,CHW,GINFO+,CHW,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:06:00.1,CG,SANDWICH,SANDWICH,SANDWICH,,,,,,,,,,,,
JW,C108 F377 SM1,00:06:01.3,CHW,SANDWICH,SANDWICH,SANDWICH,,,,,,,,,,,,
JW,C108 F377 SM1,00:06:04.4,CG,HUPW,CG,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:06:05.8,CHW,SO,CHW,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:06:07.0,CG,HUPW,CG,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:06:08.4,CHW,GINFO+,CHW,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:06:09.6,CG,HUPW,CG,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:06:12.1,Y,HUPW,CG,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:06:13.5,CG,HUPW,CG,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:06:15.5,Y,HUPW,Y,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:06:16.9,CHW,SO,CHW,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:06:23.9,CHW,GINFO+,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:06:24.0,CHW,OQTBN,OUR,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:06:57.6,Y,HUPW,Y,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:06:59.3,CHW,ROS,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:07:02.1,Y,HUPO,O,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:07:03.5,CG,HUPO,O,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:07:15.5,CHW,GINFO-,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,01:07:15.6,CHW,OQECHT-,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:07:46.3,Y,CHT-,Y,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:07:49.5,CG,CHT+,Y,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:08:03.9,CHW,CQECML+,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:08:04.0,CHW,CQECHT-,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:08:22.3,CG,CML+,OUR,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:08:24.1,CHW,GINFO+,CHW,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:08:24.2,CHW,RCHT+S,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:08:24.3,CHW,CQECML+,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:08:49.0,CG,CML+,OUR,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:09:15.9,CHW,RCML-S,CG,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:09:16.0,CHW,GINFO-,OUR,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:09:16.1,CHW,OQTBN,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:09:46.7,Y,LUP+,Y,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:09:50.7,CHW,OQTBN,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:09:58.6,Y,HUPW,Y,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:10:02.0,CHW,ROS,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:10:06.5,Y,CHT+,Y,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:10:14.4,CG,HUPW,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:10:24.9,Y,HUPW,Y,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:10:28.1,CG,HUPW,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:10:29.6,Y,HUPW,Y,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:10:31.2,CG,HUPW,CG,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:10:33.6,CHW,AFL,CG,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:10:33.7,CHW,GINFO+,O,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:10:51.5,CG,HUPW,CG,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:10:53.9,CHW,SO,CHW,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:10:57.8,Y,CHT+,Y,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:11:02.6,CHW,SO,CHW,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:11:03.8,CG,HUPW,CG,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:11:09.5,CHW,AF,OUR,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:11:19.8,CG,CML+,OUR,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:11:20.8,CHW,AF,OUR,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:11:23.7,CG,CHT-,CG,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:11:25.9,CHW,SO,CHW,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:11:27.1,CG,HUPW,CG,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:11:46.7,CHW,GINFO+,CHW,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:11:48.5,CG,SANDWICH,SANDWICH,SANDWICH,,,,,,,,,,,,
JW,C108 F377 SM1,00:11:49.6,CHW,SANDWICH,SANDWICH,SANDWICH,,,,,,,,,,,,
JW,C108 F377 SM1,00:11:51.4,CG,HUPW,CG,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:11:57.2,Y,HUPW,Y,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:11:58.5,CG,HUPW,CG,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:12:06.1,CHW,SO,CG,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:12:07.8,CG,LUP+,CG,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:12:08.8,CHW,SO,CG,CG,,,,,,,,,,,,
JW,C108 F377 SM1,00:12:11.2,CG,HUPW,CG,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:12:12.8,CHW,OQTBN,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:12:28.8,Y,HUPW,CHW,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:12:38.3,CHW,GINFO-,WE,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:12:45.2,O,HUPI,CHW,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:12:47.0,CG,HUPO,O,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:12:48.2,CHW,SO,CHW,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:12:51.6,CHW,GINFO+,WE,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:13:05.7,CHW,SS,WE,B,,,,,,,,,,,,
JW,C108 F377 SM1,00:13:05.8,CHW,OQECML+,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:13:19.5,Y,HUPW,Y,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:13:21.1,CHW,GINFO+,CHW,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:13:22.5,Y,HUPW,Y,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:13:29.0,CHW,RCML+S,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:13:29.1,CHW,OQECML+,Y,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:13:45.6,Y,HUPW,Y,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:13:46.8,CHW,CQTBN,CHW,Y,,,,,,,,,,,,
JW,C108 F377 SM1,00:13:48.0,Y,HUPW,Y,CHW,,,,,,,,,,,,
JW,C108 F377 SM1,00:13:51.0,CHW,GINFO+,CHW,Y,,,,,,,,,,,,
