x1,x2,x3,x4,x5,x6,x7
2,0.888888888889,0.541091,0.891891891892,0.54306,0.893063583815,0.512673052232
3,0.888888888889,0.534578,0.891891891892,0.549737,0.896917148362,0.510695001466
4,0.892255892256,0.527748,0.885135135135,0.538324,0.905405405405,0.511849714867
5,0.89898989899,0.544727,0.871621621622,0.553926,0.876328502415,0.542982311928
6,0.882154882155,0.537846,0.885135135135,0.552651,0.889210019268,0.534579082031
7,0.892255892256,0.53209,0.898648648649,0.536723,0.892857142857,0.526082468194
8,0.882154882155,0.545005,0.871621621622,0.558129,0.883720930233,0.551063050826
9,0.895622895623,0.536903,0.891891891892,0.555498,0.88115942029,0.534643356178
10,0.885521885522,0.552516,0.871621621622,0.570742,0.874757281553,0.555304522075
11,0.895622895623,0.540728,0.871621621622,0.552577,0.879110251451,0.542648265653
12,0.892255892256,0.542325,0.885135135135,0.540801,0.882751937984,0.534831295873
13,0.878787878788,0.544994,0.871621621622,0.555646,0.876338851022,0.552090309843
14,0.882154882155,0.541405,0.878378378378,0.547692,0.875482625483,0.544378901253
15,0.875420875421,0.544145,0.871621621622,0.566979,0.87729468599,0.547703082579
16,0.892255892256,0.539068,0.871621621622,0.549872,0.8876953125,0.538694160059
17,0.882154882155,0.543888,0.871621621622,0.556686,0.880424300868,0.546162058095
18,0.892255892256,0.5384,0.871621621622,0.530667,0.889863547758,0.530428640675
19,0.885521885522,0.54297,0.871621621622,0.546359,0.883040935673,0.541004885126
20,0.878787878788,0.545174,0.878378378378,0.549755,0.88137254902,0.543035085879
21,0.885521885522,0.546049,0.864864864865,0.565644,0.873663751215,0.550086452036
22,0.875420875421,0.546317,0.885135135135,0.555308,0.875241779497,0.550736848978
23,0.868686868687,0.543788,0.878378378378,0.537184,0.87922705314,0.539143898752
24,0.888888888889,0.551591,0.871621621622,0.558845,0.87015503876,0.555932837863
25,0.882154882155,0.540598,0.871621621622,0.557208,0.883902439024,0.541332240512
26,0.875420875421,0.5434,0.858108108108,0.563282,0.868836291913,0.55375750019
27,0.868686868687,0.548762,0.878378378378,0.55675,0.87037037037,0.55439976093
28,0.872053872054,0.54741,0.871621621622,0.557542,0.878378378378,0.548578005385
29,0.878787878788,0.554194,0.864864864865,0.574365,0.864039408867,0.562090056283
30,0.882154882155,0.543547,0.864864864865,0.557979,0.878431372549,0.549872798078
31,0.875420875421,0.559286,0.864864864865,0.572304,0.865102639296,0.566440690647
32,0.892255892256,0.538308,0.885135135135,0.543338,0.876953125,0.540965904482
33,0.882154882155,0.535867,0.885135135135,0.540317,0.885630498534,0.532028118449
34,0.882154882155,0.545039,0.871621621622,0.554199,0.880392156863,0.546782183647
35,0.878787878788,0.547629,0.878378378378,0.560816,0.874876847291,0.546551973655
36,0.875420875421,0.537812,0.864864864865,0.551471,0.884920634921,0.537475400737
37,0.885521885522,0.541624,0.878378378378,0.544674,0.878378378378,0.542334493782
38,0.868686868687,0.558656,0.864864864865,0.571821,0.866471734893,0.57367621307
39,0.892255892256,0.545176,0.858108108108,0.557149,0.874753451677,0.549014570621
40,0.875420875421,0.547738,0.878378378378,0.549497,0.879,0.546441988945
41,0.875420875421,0.551201,0.871621621622,0.573638,0.865365853659,0.56315653801
42,0.878787878788,0.545786,0.864864864865,0.561137,0.878968253968,0.553171326717
43,0.861952861953,0.555012,0.864864864865,0.572086,0.864341085271,0.562973161538
44,0.872053872054,0.547818,0.878378378378,0.549583,0.873517786561,0.551092072673
45,0.875420875421,0.544526,0.878378378378,0.557611,0.87729468599,0.548321332621
46,0.868686868687,0.548857,0.878378378378,0.551516,0.872529644269,0.551148961891
47,0.878787878788,0.551104,0.878378378378,0.558425,0.86750483559,0.557640181346
48,0.872053872054,0.542935,0.885135135135,0.543263,0.884920634921,0.539978512696
49,0.872053872054,0.553038,0.871621621622,0.566302,0.878522837707,0.55939887535
50,0.895622895623,0.542339,0.878378378378,0.553038,0.882,0.545950418711
51,0.875420875421,0.549749,0.858108108108,0.56124,0.873529411765,0.561949020624
52,0.882154882155,0.551704,0.864864864865,0.556792,0.874493927126,0.556991614793
53,0.875420875421,0.553394,0.871621621622,0.562906,0.869910625621,0.56143246199
54,0.885521885522,0.550131,0.878378378378,0.563659,0.87037037037,0.558853347051
55,0.86531986532,0.565959,0.885135135135,0.580446,0.852525252525,0.575948228439
56,0.882154882155,0.543328,0.871621621622,0.547555,0.87996031746,0.54415217042
57,0.86531986532,0.546763,0.885135135135,0.555601,0.875243664717,0.551679422458
58,0.875420875421,0.56354,0.871621621622,0.595323,0.862068965517,0.576729767463
59,0.878787878788,0.549967,0.885135135135,0.559443,0.873379860419,0.552387717892
